,rangoAutovalores,pasos,iters,tiempo
167,119184.15891764652,0.5,3549,0.06990838050842285
168,120823.88937780198,0.5,4241,0.08373689651489258
169,103765.01338364932,0.5,631,0.02368450164794922
170,120845.29258845268,0.5,4498,0.11326432228088379
171,160969.831277606,0.5,1151,0.02454543113708496
172,152176.41098457723,0.5,1804,0.030884981155395508
173,142301.88553298527,0.5,9464,0.18543434143066406
174,148110.64418963238,0.5,2386,0.039556026458740234
175,148112.2485348474,0.5,2262,0.05273079872131348
176,158142.71136584843,0.5,1480,0.07044529914855957
177,177328.1846003543,0.5,4573,0.12035822868347168
178,155587.11073547354,0.5,75192,1.6091020107269287
179,144442.71623412424,0.5,3079,0.050260305404663086
180,149376.98800776032,0.5,7583,0.14289546012878418
181,170418.35140165203,0.5,6228,0.20784258842468262
182,150730.83413742695,0.5,15144,0.282024621963501
183,169217.22667594525,0.5,6192,0.10888791084289551
184,163505.22215288918,0.5,1539,0.025331974029541016
185,176709.622809962,0.5,1247,0.020641803741455078
186,185721.75304296688,0.5,2601,0.05153155326843262
187,244590.2456101976,0.5,1518,0.024772167205810547
188,207626.6687354229,0.5,3726,0.08938813209533691
189,188212.0134939497,0.5,620,0.028534412384033203
190,230315.8144048959,0.5,2924,0.06287264823913574
191,224615.3735982258,0.5,2148,0.03474140167236328
192,223463.51116008693,0.5,5984,0.10552620887756348
193,188823.3652396909,0.5,3576,0.08343863487243652
194,238622.3307053795,0.5,4277,0.09345388412475586
195,207126.78101130005,0.5,2776,0.0464169979095459
196,204013.8868348868,0.5,1301,0.021707534790039062
197,220471.82244227792,0.5,860,0.014115333557128906
198,278204.0083830989,0.5,2117,0.03447151184082031
199,339131.4913032096,0.5,992,0.016147613525390625
200,25.91211218391877,0.75,299,0.004848480224609375
201,114.9028816141618,0.75,941,0.01540064811706543
202,231.3491313703673,0.75,1132,0.018591880798339844
203,419.515993577398,0.75,634,0.010694503784179688
204,657.7491853432172,0.75,953,0.015649080276489258
205,857.6877459648322,0.75,971,0.017438411712646484
206,1483.8273551191069,0.75,3572,0.06008028984069824
207,2030.7927391811345,0.75,1012,0.016659259796142578
208,2117.6608559459,0.75,444,0.007591724395751953
209,2735.6513281345874,0.75,1139,0.01871633529663086
210,3231.856718710456,0.75,4025,0.06563019752502441
211,3320.067373794032,0.75,855,0.014148950576782227
212,4044.9189198031327,0.75,1565,0.025336503982543945
